Site,Android,BlackBerry,iOS,iPad,iPhone,iPod,Linux,Macintosh,SymbianOS,Windows,"Windows Phone",Autre
barcampthies.org,0.33,0.08,0.54,0,0,0,17.62,15.36,0.04,65.95,0,0.08
www.sen-annonces.com,1.93,0.21,3.72,0,0,0,2.24,4.04,0.16,85.5,0,2.2
www.espacepolytech.com,0.65,0.04,0.09,0,0,0,27.34,3.64,0.02,67.74,0,0.48
www.djolofinfo.com,2.06,0.78,2.77,0,0,0,4.18,7.32,0.24,79.13,0,3.52
soulesidibe.wordpress.com,15,0,0,0,0,0,85,0,0,0,0,0
www.marodi.tv,35.07,0,52.47,0,0,0,0,0,1,1.19,0,10.27
blog.mmkmou.net,0,0,0,0,0,0,31,8,0,54,0,7
dofbi.com,1.56,0.31,1.94,0.5,0.5,0.25,10.33,7.82,0,75.34,0,1.45
popsenegal.com,1.57,0.31,0,1.14,0.52,,5.64,8.82,0.14,81.11,0.6,0.15
barcampdakar.org,0.97,0,2.58,0.81,0,0.65,10.81,10.16,,73.21,0,0.81
connexionservice.com,2.21,0,1.33,0.44,0,0,13.27,18.14,59.73,,0,4.88
avatar.01services.org,0.28,0,1.69,0,0,0,3.09,16.57,0,78.37,0,0
sfd2012.dakarlug.org,2.9,0,3.09,0,0,0,30.95,14.12,0,48.65,0.1,0.19
sn2twitter.com,2.51,1.08,1.88,1.52,2.6,0.36,16.4,15.41,0,57.71,,0.53
www.mambycamara.com,3.39,0,0,0,0,0,5.09,0,0,89.83,0,1.69
afrikdotnet.com,7.69,0,5.77,0,0,0,1.93,1.92,0,82.69,0,0
www.buzz.sn,5.44,0.08,9.29,0,0,0,1.53,5.94,0,77.22,0.17,0.33
http://www.Momoshady.com,0,0,0,0,0,0,5,0,10,85,0,0
www.mpsnpictures.com,7,0,0,0,6,0,0,20,0,65,2,0
seneweb.com,0,0,20,0,0,0,30,0,0,50,0,0
www.sunuworld.com,17,5,45,10,10,10,0,0,1,1,1,0
http://www.impotsetdomaines.gouv.sn,0.63,0.08,1.29,0.4,0.23,0.01,0.59,3.35,0.07,93.1,0.01,0.24
www.polytekafrik.com,4,0,0,1,0,0,15,0,0,80,0,0
www.itmag.sn,2.27,0,2.27,0,0,0,0,11.36,0,79.55,0,4.55
www.santati.net,3.45,0.14,1.28,1.04,1.72,0.12,0.94,4.69,0.3,85.18,0.08,1.06
http://be.net/nabyfreeman,0,5,0,5,5,5,0,10,0,70,0,0
